"YEAR","COUNTY","PLACE","CFIPS","PFIPS","Total Population",
"1989","Adams County","Adams Unincorp. Area","1","99990","63,417",
"1980","Adams County","Adams Unincorp. Area","1","99990","70,024",
"1994","Adams County","Adams Unincorp. Area","1","99990","70,669",
"1999","Adams County","Adams Unincorp. Area","1","99990","77,618",
"1997","Adams County","Adams Unincorp. Area","1","99990","74,686",
"1984","Adams County","Adams Unincorp. Area","1","99990","70,286",
"1991","Adams County","Adams Unincorp. Area","1","99990","64,537",
"1992","Adams County","Adams Unincorp. Area","1","99990","66,501",
"1996","Adams County","Adams Unincorp. Area","1","99990","73,050",
"1988","Adams County","Adams Unincorp. Area","1","99990","64,539",
"1983","Adams County","Adams Unincorp. Area","1","99990","71,839",
"2005","Adams County","Adams Unincorp. Area","1","99990","81,497",
"1986","Adams County","Adams Unincorp. Area","1","99990","66,578",
"2002","Adams County","Adams Unincorp. Area","1","99990","80,108",
"1990","Adams County","Adams Unincorp. Area","1","99990","62,606",
"1982","Adams County","Adams Unincorp. Area","1","99990","70,624",
"1981","Adams County","Adams Unincorp. Area","1","99990","70,297",
"1987","Adams County","Adams Unincorp. Area","1","99990","65,134",
"2001","Adams County","Adams Unincorp. Area","1","99990","79,055",
"1995","Adams County","Adams Unincorp. Area","1","99990","71,842",
"1993","Adams County","Adams Unincorp. Area","1","99990","68,890",
"2003","Adams County","Adams Unincorp. Area","1","99990","80,628",
"1985","Adams County","Adams Unincorp. Area","1","99990","69,489",
"2004","Adams County","Adams Unincorp. Area","1","99990","80,725",
"2006","Adams County","Adams Unincorp. Area","1","99990","83,240",
"1998","Adams County","Adams Unincorp. Area","1","99990","76,684",
"2000","Adams County","Adams Unincorp. Area","1","99990","78,379",
"2007","Adams County","Adams Unincorp. Area","1","99990","84,211",
"2008","Adams County","Adams Unincorp. Area","1","99990","85,498",
"2009","Adams County","Adams Unincorp. Area","1","99990","87,372",
"1991","Las Animas County","Aguilar","71","760","521",
"1989","Las Animas County","Aguilar","71","760","537",
"1983","Las Animas County","Aguilar","71","760","622",
"1980","Las Animas County","Aguilar","71","760","624",
"1994","Las Animas County","Aguilar","71","760","592",
"2001","Las Animas County","Aguilar","71","760","590",
"2006","Las Animas County","Aguilar","71","760","554",
"1985","Las Animas County","Aguilar","71","760","591",
"1981","Las Animas County","Aguilar","71","760","632",
"1993","Las Animas County","Aguilar","71","760","558",
"2003","Las Animas County","Aguilar","71","760","588",
"1988","Las Animas County","Aguilar","71","760","558",
"1982","Las Animas County","Aguilar","71","760","637",
"1995","Las Animas County","Aguilar","71","760","594",
"1986","Las Animas County","Aguilar","71","760","574",
"1990","Las Animas County","Aguilar","71","760","520",
"1987","Las Animas County","Aguilar","71","760","575",
"1992","Las Animas County","Aguilar","71","760","528",
"2004","Las Animas County","Aguilar","71","760","568",
"2005","Las Animas County","Aguilar","71","760","559",
"1996","Las Animas County","Aguilar","71","760","597",
"2002","Las Animas County","Aguilar","71","760","589",
"1999","Las Animas County","Aguilar","71","760","592",
"1984","Las Animas County","Aguilar","71","760","591",
"1997","Las Animas County","Aguilar","71","760","593",
"2000","Las Animas County","Aguilar","71","760","595",
"1998","Las Animas County","Aguilar","71","760","589",
"2008","Las Animas County","Aguilar","71","760","541",
"2007","Las Animas County","Aguilar","71","760","550",
"2009","Las Animas County","Aguilar","71","760","538",
"1999","Washington County","Akron","121","925","1,740",
"1990","Washington County","Akron","121","925","1,599",
"1998","Washington County","Akron","121","925","1,778",
"2003","Washington County","Akron","121","925","1,843",
"1987","Washington County","Akron","121","925","1,734",
"1985","Washington County","Akron","121","925","1,803",
"2000","Washington County","Akron","121","925","1,729",
"1982","Washington County","Akron","121","925","1,825",
"1996","Washington County","Akron","121","925","1,778",
"1988","Washington County","Akron","121","925","1,715",
"1992","Washington County","Akron","121","925","1,643",
"1995","Washington County","Akron","121","925","1,778",
"1984","Washington County","Akron","121","925","1,839",
"2002","Washington County","Akron","121","925","1,898",
"1986","Washington County","Akron","121","925","1,739",
"1994","Washington County","Akron","121","925","1,765",
"2006","Washington County","Akron","121","925","1,803",
"1980","Washington County","Akron","121","925","1,716",
"2004","Washington County","Akron","121","925","1,843",
"1993","Washington County","Akron","121","925","1,739",
"1997","Washington County","Akron","121","925","1,788",
"2005","Washington County","Akron","121","925","1,815",
"1989","Washington County","Akron","121","925","1,644",
"1981","Washington County","Akron","121","925","1,723",
"1991","Washington County","Akron","121","925","1,601",
"2001","Washington County","Akron","121","925","1,714",
"1983","Washington County","Akron","121","925","1,868",
"2009","Washington County","Akron","121","925","1,718",
"2007","Washington County","Akron","121","925","1,778",
"2008","Washington County","Akron","121","925","1,730",
"2006","Alamosa County","Alamosa","3","1090","8,826",
"1995","Alamosa County","Alamosa","3","1090","7,642",
"1985","Alamosa County","Alamosa","3","1090","7,257",
"1996","Alamosa County","Alamosa","3","1090","7,706",
"2004","Alamosa County","Alamosa","3","1090","8,812",
"1998","Alamosa County","Alamosa","3","1090","7,799",
"1999","Alamosa County","Alamosa","3","1090","7,894",
"1994","Alamosa County","Alamosa","3","1090","7,520",
"1984","Alamosa County","Alamosa","3","1090","7,260",
"1991","Alamosa County","Alamosa","3","1090","7,528",
"1997","Alamosa County","Alamosa","3","1090","7,773",
"1987","Alamosa County","Alamosa","3","1090","7,492",
"1986","Alamosa County","Alamosa","3","1090","7,426",
"2005","Alamosa County","Alamosa","3","1090","8,830",
"1983","Alamosa County","Alamosa","3","1090","7,160",
"1992","Alamosa County","Alamosa","3","1090","7,453",
"2001","Alamosa County","Alamosa","3","1090","8,596",
"1980","Alamosa County","Alamosa","3","1090","6,830",
"2000","Alamosa County","Alamosa","3","1090","8,489",
"1982","Alamosa County","Alamosa","3","1090","7,000",
"1993","Alamosa County","Alamosa","3","1090","7,428",
"2003","Alamosa County","Alamosa","3","1090","8,751",
"1990","Alamosa County","Alamosa","3","1090","7,579",
"1988","Alamosa County","Alamosa","3","1090","7,628",
"1981","Alamosa County","Alamosa","3","1090","7,012",
"2002","Alamosa County","Alamosa","3","1090","8,648",
"1989","Alamosa County","Alamosa","3","1090","7,592",
"2008","Alamosa County","Alamosa","3","1090","8,828",
"2009","Alamosa County","Alamosa","3","1090","8,823",
"2007","Alamosa County","Alamosa","3","1090","8,808",
"1986","Alamosa County","Alamosa Unincorp. Area","3","99990","5,812",
"1983","Alamosa County","Alamosa Unincorp. Area","3","99990","5,401",
"2002","Alamosa County","Alamosa Unincorp. Area","3","99990","6,500",
